NAZEV;NAZEV_OBCE;NAZEV_ULICE;CISLO_POPISNE;CISLO_ORIENTACNI;IC;PRAVNICKA_OSOBA;TITUL;JMENO;PRIJMENI;TELEFON;EMAIL
AMSTA, s.r.o.;Ostrava;Zámostní;1155;27;29218527;1;;Jan;Bureš;+420 602 969 218;jan.bures@amsta.cz
I&P Trade, s.r.o.  ;Brno;Pøíkop;834;4;19867336;1;;Apollinarija;Uhmannová;+420 778 975 701;info@iptrade-group.cz
PlatinPharma s.r.o.;Ostrava;Zámostní;1155;27;10704329;1;Mgr.;Renáta;Waszutová;733 424 020;info@platinpharma.cz
Phytohemp s.r.o.;Lomnice nad Popelkou;Smetanova;966;;08435740;1;;Georg Alexander;Bader;+49 171 2011143;info@phyto-hemp.com
JVL Group s.r.o.;Praha 8;Pobøežní;249;46;06458572;1;;Dominika;Jirásková;608 311 777;djizdny@jvlgroup.cz
AGA KOMMERZ, spol. s r.o.;Èeský Tìšín;Frýdecká;2006;14;18127908;1;;Ewa;Wrzecionko;558 745 176;agakomerz.ct@tiscali.cz
Lek servis s.r.o.;Frýdek - Místek;Ondrášova ;1362;;19131518;1;PharmDr. ;Monika ;Øezníková, MBA;734 792 882;reznikova@lekservis.cz
PharmaBox s.r.o.;Praha 10;námìstí Pøátelství;1518;2;02761297;1;Mgr.;Klára;Štindlová;+420 737 506 889;info@pharmabox.cz
Dentamed (ÈR), spol. s r.o.;Praha 3;Pod Lipami;2602;41;25083163;1;;Lucie;Jírová;266 007 111;info@dentamed.cz
Pharmedex s.r.o.;Praha 9;Lisabonská;799;8;27151387;1;MUDr.;David;Rosecký;739 433 893;office@pharmedex.cz
Pharmaselect CZ s.r.o.;Praha 8;Karolinská ;2;654;49975951;1;MVDr.;Petra;Masarovièová;+421 905 744 854;p.masarovicova@pharmaselect.com
Czechiapharm Team s.r.o.;Ostrava;Mièurinova;808;13;08335826;1;;Rostislav;Fišer;773 456 044;fiser@czechiapharm.cz
TEAM 4 YOU s.r.o.;Krnov;nám. Minoritù;86;7;27711773;1;;Radka;Jedlièková;774 640 981;malir@t4y.cz
Ruggero Lupo s.r.o.;Praha 4;Seidlova;466;1;25652486;1;Ing.;Lukáš;Štìpánek;608 965 439;stepanek@e-stepanek.eu
Pharmaselect CZ s.r.o.;Praha 8;Karolinská;2;654;49975951;1;MVDr.;Petra;Masarovièová;;
MediDynamics s.r.o.;Ostrava;Zámostní;1155;27;21292671;1;Mgr.;Renáta;Waszutová;;
VitaNexus s.r.o.;Sviadnov;Horní;789;;22513906;1;RNDr. ;Ondøej;Groborz;+420 739 545 629;ondrej.groborz@seznam.cz
EFSETE s.r.o.;Ostrava;Roháèova;3339;5;28587324;1;Mgr.;Zdenìk;Sommer;597 070 738;info@efsete.cz
Eurolek & Equipment s.r.o.;Praha 2;Záhøebská;562;41;09441395;1;;Iveta;Vojíková;776 603 338;hello@eurolek.info
LONGEVITY, s.r.o.;Praha 1;Divadelní;322;24;28211901;1;MUDr.;Monika;Golková;602 406 406;golkova@a2c.cz
Irina Elistratova;Ústí nad Labem;Masarykova;1648;59;69296821;0;;Irina;Elistratova;;
Health 42 Solutions Group s.r.o.;Roztoky;Bronzová;2428;;23605201;1;;Miha;Kline;+420 737 268 637;miha.kline@h42group.com
